2025-11-29T14:22:07.999-05:00 | DEBUG | traceId=no-trace | method= | endpoint= | userId=anonymous | clientIp= | logger=com.zaxxer.hikari.pool.PoolBase | message=HikariPool-1 - Attempting to create/setup new connection (25b5c88e-0533-453c-b57f-82c308178eb5)
2025-11-29T14:22:08.001-05:00 | DEBUG | traceId=no-trace | method= | endpoint= | userId=anonymous | clientIp= | logger=com.zaxxer.hikari.pool.PoolBase | message=HikariPool-1 - Established new connection (25b5c88e-0533-453c-b57f-82c308178eb5)
2025-11-29T14:22:08.002-05:00 | DEBUG | traceId=no-trace | method= | endpoint= | userId=anonymous | clientIp= | logger=com.zaxxer.hikari.pool.HikariPool | message=HikariPool-1 - Added connection conn5: url=jdbc:h2:mem:tiqueteradb user=SA
2025-11-29T14:22:08.033-05:00 | DEBUG | traceId=no-trace | method= | endpoint= | userId=anonymous | clientIp= | logger=com.zaxxer.hikari.pool.HikariPool | message=HikariPool-1 - After adding stats (total=6/10, idle=5/10, active=1, waiting=0)
2025-11-29T14:22:08.034-05:00 | DEBUG | traceId=no-trace | method= | endpoint= | userId=anonymous | clientIp= | logger=com.zaxxer.hikari.pool.PoolBase | message=HikariPool-1 - Attempting to create/setup new connection (a56e12c7-0ef2-45c2-bc2a-70dab577d842)
2025-11-29T14:22:08.036-05:00 | DEBUG | traceId=no-trace | method= | endpoint= | userId=anonymous | clientIp= | logger=com.zaxxer.hikari.pool.PoolBase | message=HikariPool-1 - Established new connection (a56e12c7-0ef2-45c2-bc2a-70dab577d842)
2025-11-29T14:22:08.037-05:00 | DEBUG | traceId=no-trace | method= | endpoint= | userId=anonymous | clientIp= | logger=com.zaxxer.hikari.pool.HikariPool | message=HikariPool-1 - Added connection conn6: url=jdbc:h2:mem:tiqueteradb user=SA
2025-11-29T14:22:08.070-05:00 | DEBUG | traceId=no-trace | method= | endpoint= | userId=anonymous | clientIp= | logger=com.zaxxer.hikari.pool.HikariPool | message=HikariPool-1 - After adding stats (total=7/10, idle=6/10, active=1, waiting=0)
2025-11-29T14:22:08.071-05:00 | DEBUG | traceId=no-trace | method= | endpoint= | userId=anonymous | clientIp= | logger=com.zaxxer.hikari.pool.PoolBase | message=HikariPool-1 - Attempting to create/setup new connection (aaa1aad9-769e-4f7b-acf0-51d62fc55721)
2025-11-29T14:22:08.073-05:00 | DEBUG | traceId=no-trace | method= | endpoint= | userId=anonymous | clientIp= | logger=com.zaxxer.hikari.pool.PoolBase | message=HikariPool-1 - Established new connection (aaa1aad9-769e-4f7b-acf0-51d62fc55721)
2025-11-29T14:22:08.075-05:00 | DEBUG | traceId=no-trace | method= | endpoint= | userId=anonymous | clientIp= | logger=com.zaxxer.hikari.pool.HikariPool | message=HikariPool-1 - Added connection conn7: url=jdbc:h2:mem:tiqueteradb user=SA
2025-11-29T14:22:08.107-05:00 | DEBUG | traceId=no-trace | method= | endpoint= | userId=anonymous | clientIp= | logger=com.zaxxer.hikari.pool.HikariPool | message=HikariPool-1 - After adding stats (total=8/10, idle=6/10, active=2, waiting=0)
2025-11-29T14:22:08.107-05:00 | DEBUG | traceId=no-trace | method= | endpoint= | userId=anonymous | clientIp= | logger=com.zaxxer.hikari.pool.PoolBase | message=HikariPool-1 - Attempting to create/setup new connection (d61079d0-1f60-4a1c-9c73-5a7e0802e423)
2025-11-29T14:22:08.109-05:00 | DEBUG | traceId=no-trace | method= | endpoint= | userId=anonymous | clientIp= | logger=com.zaxxer.hikari.pool.PoolBase | message=HikariPool-1 - Established new connection (d61079d0-1f60-4a1c-9c73-5a7e0802e423)
2025-11-29T14:22:08.109-05:00 | DEBUG | traceId=no-trace | method= | endpoint= | userId=anonymous | clientIp= | logger=com.zaxxer.hikari.pool.HikariPool | message=HikariPool-1 - Added connection conn8: url=jdbc:h2:mem:tiqueteradb user=SA
2025-11-29T14:22:08.127-05:00 | INFO  | traceId=no-trace | method= | endpoint= | userId=anonymous | clientIp= | logger=o.f.core.internal.command.DbMigrate | message=Current version of schema "PUBLIC": << Empty Schema >>
2025-11-29T14:22:08.141-05:00 | DEBUG | traceId=no-trace | method= | endpoint= | userId=anonymous | clientIp= | logger=com.zaxxer.hikari.pool.HikariPool | message=HikariPool-1 - After adding stats (total=9/10, idle=7/10, active=2, waiting=0)
